0 60
30 60
60 60
90 60
0 0
30 0
60 0
90 0
0 30
30 30
60 30
90 30
5 5
55 35
10 5
60 35
15 5
65 35
20 5
70 35
25 5
75 35
30 5
5 40
35 5
10 40
40 5
15 40
45 5
20 40
50 5
25 40
55 5
30 40
60 5
35 40
65 5
40 40
70 5
45 40
75 5
50 40
5 10
55 40
10 10
60 40
15 10
65 40
20 10
70 40
25 10
75 40
30 10
5 45
35 10
10 45
40 10
15 45
45 10
20 45
50 10
25 45
55 10
30 45
60 10
35 45
65 10
40 45
70 10
45 45
75 10
50 45
5 15
55 45
10 15
60 45
15 15
65 45
20 15
70 45
25 15
75 45
30 15
5 50
35 15
10 50
40 15
15 50
45 15
20 50
50 15
25 50
55 15
30 50
60 15
35 50
65 15
40 50
70 15
45 50
75 15
50 50
5 20
55 50
10 20
60 50
15 20
65 50
20 20
70 50
25 20
75 50
30 20
5 55
35 20
10 55
40 20
15 55
45 20
20 55
50 20
25 55
55 20
30 55
60 20
35 55
65 20
40 55
70 20
45 55
75 20
50 55
5 25
55 55
10 25
60 55
15 25
65 55
20 25
70 55
25 25
75 55
30 25
5 60
35 25
10 60
40 25
15 60
45 25
20 60
50 25
25 60
55 25
30 60
60 25
35 60
65 25
40 60
70 25
45 60
75 25
50 60
5 30
55 60
10 30
60 60
15 30
65 60
20 30
70 60
25 30
75 60
30 30
5 65
35 30
10 65
40 30
15 65
45 30
20 65
50 30
25 65
55 30
30 65
60 30
35 65
65 30
40 65
70 30
45 65
75 30
50 65
5 35
55 65
10 35
60 65
15 35
65 65
20 35
70 65
25 35
75 65
30 35
5 70
35 35
10 70
40 35
15 70
45 35
20 70
50 35
25 70
